"","X","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_21_label"
"1",167,"z5-z14_NW-RW10-2.3-Map128_MergedMC",1,19.489,3.737,"N","0006-0037",24,0,"WT","NW",0.714285714285714
"2",168,"z5-z14_NW-RW10-2.3-Map128_MergedMC",2,46.092,21.222,"P","0011-0139",120,0,"WT","NW",0.666666666666667
"3",169,"z5-z14_NW-RW10-2.3-Map128_MergedMC",3,77.815,15.471,"P","0015-0212",190,0,"WT","NW",0.666666666666667
"4",170,"z5-z14_NW-RW10-2.3-Map128_MergedMC",4,49.221,11.936,"P","0010-0278",257,0,"WT","NW",0.714285714285714
"5",171,"z5-z14_NW-RW10-2.3-Map128_MergedMC",5,49.861,4.161,"N","0021-0016",0,8,"WT","NW",0.714285714285714
"6",172,"z5-z14_NW-RW10-2.3-Map128_MergedMC",6,80.874,45.729,"P","0030-0167",149,10,"WT","NW",0.666666666666667
"7",173,"z5-z14_NW-RW10-2.3-Map128_MergedMC",7,39.761,2.708,"N","0024-0057",42,11,"WT","NW",0.714285714285714
"8",174,"z5-z14_NW-RW10-2.3-Map128_MergedMC",8,86.279,11.456,"P","0043-0263",241,26,"WT","NW",0.714285714285714
"9",175,"z5-z14_NW-RW10-2.3-Map128_MergedMC",9,86.493,13.637,"P","0046-0202",180,28,"WT","NW",0.666666666666667
"10",176,"z5-z14_NW-RW10-2.3-Map128_MergedMC",10,96.095,10.262,"P","0062-0348",326,43,"WT","NW",0.761904761904762
"11",177,"z5-z14_NW-RW10-2.3-Map128_MergedMC",11,119.852,48.156,"P","0076-0156",134,52,"WT","NW",0.714285714285714
"12",178,"z5-z14_NW-RW10-2.3-Map128_MergedMC",12,89.836,15.546,"P","0082-0116",96,61,"WT","NW",0.666666666666667
"13",179,"z5-z14_NW-RW10-2.3-Map128_MergedMC",13,49.719,6.629,"N","0078-0222",205,64,"WT","NW",0.80952380952381
"14",180,"z5-z14_NW-RW10-2.3-Map128_MergedMC",14,28.736,1.703,"N","0076-0192",180,65,"WT","NW",0.80952380952381
"15",181,"z5-z14_NW-RW10-2.3-Map128_MergedMC",15,62.38,17.021,"P","0087-0239",220,69,"WT","NW",0.761904761904762
"16",182,"z5-z14_NW-RW10-2.3-Map128_MergedMC",16,62.522,58.862,"P","0091-0043",25,75,"WT","NW",0.619047619047619
"17",183,"z5-z14_NW-RW10-2.3-Map128_MergedMC",17,89.338,18.022,"P","0109-0195",175,87,"WT","NW",0.761904761904762
"18",184,"z5-z14_NW-RW10-2.3-Map128_MergedMC",18,77.602,13.611,"P","0110-0103",83,92,"WT","NW",0.666666666666667
"19",185,"z5-z14_NW-RW10-2.3-Map128_MergedMC",19,53.418,10.261,"P","0114-0011",0,94,"WT","NW",0.619047619047619
"20",186,"z5-z14_NW-RW10-2.3-Map128_MergedMC",20,63.091,5.497,"N","0111-0311",294,95,"WT","NW",0.761904761904762
"21",187,"z5-z14_NW-RW10-2.3-Map128_MergedMC",21,64.087,10.346,"P","0116-0164",145,101,"WT","NW",0.761904761904762
"22",188,"z5-z14_NW-RW10-2.3-Map128_MergedMC",22,83.648,12.695,"P","0120-0349",329,102,"WT","NW",0.666666666666667
"23",189,"z5-z14_NW-RW10-2.3-Map128_MergedMC",23,71.556,4.108,"N","0135-0133",115,117,"WT","NW",0.761904761904762
"24",190,"z5-z14_NW-RW10-2.3-Map128_MergedMC",24,47.087,4.816,"N","0154-0354",339,140,"WT","NW",0.666666666666667
"25",191,"z5-z14_NW-RW10-2.3-Map128_MergedMC",25,118.003,32.53,"P","0168-0069",48,143,"WT","NW",0.571428571428571
"26",192,"z5-z14_NW-RW10-2.3-Map128_MergedMC",26,90.974,13.001,"P","0170-0257",237,149,"WT","NW",0.571428571428571
"27",193,"z5-z14_NW-RW10-2.3-Map128_MergedMC",27,87.417,18.849,"P","0195-0279",258,176,"WT","NW",0.571428571428571
"28",194,"z5-z14_NW-RW10-2.3-Map128_MergedMC",28,72.765,11.267,"P","0216-0246",228,197,"WT","NW",0.571428571428571
"29",195,"z5-z14_NW-RW10-2.3-Map128_MergedMC",29,101.643,16.478,"P","0221-0085",65,199,"WT","NW",0.571428571428571
"30",196,"z5-z14_NW-RW10-2.3-Map128_MergedMC",30,45.025,5.177,"N","0241-0158",144,225,"WT","NW",0.619047619047619
"31",197,"z5-z14_NW-RW10-2.3-Map128_MergedMC",31,39.548,3.851,"N","0253-0222",209,237,"WT","NW",0.761904761904762
"32",198,"z5-z14_NW-RW10-2.3-Map128_MergedMC",32,30.941,1.848,"N","0255-0011",0,241,"WT","NW",0.571428571428571
"33",199,"z5-z14_NW-RW10-2.3-Map128_MergedMC",33,28.523,4.202,"N","0259-0209",195,247,"WT","NW",0.666666666666667
"34",200,"z5-z14_NW-RW10-2.3-Map128_MergedMC",34,37.129,9.264,"N","0268-0389",380,250,"WT","NW",0.714285714285714
"35",201,"z5-z14_NW-RW10-2.3-Map128_MergedMC",35,23.828,2.137,"N","0267-0019",7,256,"WT","NW",0.571428571428571
"36",202,"z5-z14_NW-RW10-2.3-Map128_MergedMC",36,105.271,21.54,"P","0277-0174",151,256,"WT","NW",0.571428571428571
"37",203,"z5-z14_NW-RW10-2.3-Map128_MergedMC",37,21.125,15.451,"P","0282-0007",0,269,"WT","NW",0.523809523809524
"38",204,"z5-z14_NW-RW10-2.3-Map128_MergedMC",38,93.535,16.103,"P","0293-0127",107,272,"WT","NW",0.476190476190476
"39",205,"z5-z14_NW-RW10-2.3-Map128_MergedMC",39,86.92,14.279,"P","0294-0245",225,275,"WT","NW",0.619047619047619
"40",206,"z5-z14_NW-RW10-2.3-Map128_MergedMC",40,88.271,10.972,"P","0315-0350",330,296,"WT","NW",0.619047619047619
"41",207,"z5-z14_NW-RW10-2.3-Map128_MergedMC",41,26.816,3.454,"N","0312-0083",70,303,"WT","NW",0.571428571428571
"42",208,"z5-z14_NW-RW10-2.3-Map128_MergedMC",42,100.79,52.686,"P","0330-0191",166,310,"WT","NW",0.571428571428571
"43",209,"z5-z14_NW-RW10-2.3-Map128_MergedMC",43,76.321,4.136,"N","0341-0090",70,324,"WT","NW",0.571428571428571
"44",210,"z5-z14_NW-RW10-2.3-Map128_MergedMC",44,95.384,11.172,"P","0356-0220",198,336,"WT","NW",0.619047619047619
"45",211,"z5-z14_NW-RW10-2.3-Map128_MergedMC",45,17.284,2.469,"N","0355-0392",386,344,"WT","NW",0.666666666666667
"46",212,"z5-z14_NW-RW10-2.3-Map128_MergedMC",46,95.17,16.701,"P","0377-0262",239,358,"WT","NW",0.571428571428571
"47",213,"z5-z14_NW-RW10-2.3-Map128_MergedMC",47,91.045,10.264,"P","0379-0100",78,360,"WT","NW",0.523809523809524
"48",214,"z5-z14_NW-RW10-2.3-Map128_MergedMC",48,20.556,3.647,"N","0370-0123",111,360,"WT","NW",0.571428571428571
"49",215,"z5-z14_NW-RW10-2.3-Map128_MergedMC",49,86.777,8.896,"P","0380-0367",347,361,"WT","NW",0.619047619047619
"50",216,"z5-z14_NW-RW10-2.3-Map128_MergedMC",50,43.815,12.281,"P","0384-0014",0,370,"WT","NW",0.523809523809524
"51",217,"z5-z14_NW-RW10-2.3-Map128_MergedMC",51,25.749,3.464,"N","0383-0052",42,372,"WT","NW",0.571428571428571
"52",218,"z5-z14_NW-RW10-2.3-Map128_MergedMC",52,36.347,3.548,"N","0388-0163",149,377,"WT","NW",0.619047619047619
"53",219,"z5-z14_NW-RW10-2.3-Map128_MergedMC",53,16.929,10.42,"P","0392-0334",323,386,"WT","NW",0.619047619047619
"54",220,"z5-z14_NW-RW10-2.3-Map128_MergedMC",54,79.451,16.348,"P","0262-0328",307,242,"WT","NW",0.619047619047619
"55",221,"z5-z14_NW-RW10-2.3-Map128_MergedMC",55,75.966,18.336,"P","0248-0307",287,228,"WT","NW",0.619047619047619
"56",222,"z5-z14_NW-RW10-2.3-Map128_MergedMC",56,121.559,43.929,"P","0167-0152",128,144,"WT","NW",0.666666666666667
"57",223,"z5-z14_NW-RW10-2.3-Map128_MergedMC",57,17.071,4.954,"N","0149-0168",157,140,"WT","NW",0.714285714285714
