,Cell_type,Cohort,Condition,Hemisphere,Image,Cell_number,Mean,Time,Cohort_mean
239,PNN-pos,#013118,WT,LH,1,1,358.1774791,12 wk,2541
240,PNN-pos,#013118,WT,LH,1,2,1840.385542,12 wk,2541
241,PNN-pos,#013118,WT,LH,1,3,2534.309546,12 wk,2541
242,PNN-pos,#013118,WT,LH,1,4,2115.475904,12 wk,2541
243,PNN-pos,#013118,WT,LH,1,5,2047.659407,12 wk,2541
244,PNN-pos,#013118,WT,LH,2,1,2976.769231,12 wk,2541
245,PNN-pos,#013118,WT,LH,2,2,1803.050046,12 wk,2541
246,PNN-pos,#013118,WT,LH,2,3,1523.156163,12 wk,2541
247,PNN-pos,#013118,WT,LH,2,4,2888.033364,12 wk,2541
248,PNN-pos,#013118,WT,LH,2,5,1956.363299,12 wk,2541
249,PNN-pos,#022518,WT,LH,1,1,1901.905005,12 wk,3012
250,PNN-pos,#022518,WT,LH,1,2,2288.044486,12 wk,3012
251,PNN-pos,#022518,WT,LH,1,3,2328.794254,12 wk,3012
252,PNN-pos,#022518,WT,LH,1,4,1493.918443,12 wk,3012
253,PNN-pos,#022518,WT,LH,1,5,1810.357739,12 wk,3012
254,PNN-pos,#022518,WT,LH,2,1,986.2131603,12 wk,3012
255,PNN-pos,#022518,WT,LH,2,2,1392.039852,12 wk,3012
256,PNN-pos,#022518,WT,LH,2,3,1321.363763,12 wk,3012
257,PNN-pos,#022518,WT,LH,2,4,1066.02456,12 wk,3012
258,PNN-pos,#022518,WT,LH,2,5,1152,12 wk,3012
259,PNN-pos,#021818,WT,LH,1,1,2297.856812,12 wk,3152
260,PNN-pos,#021818,WT,LH,1,2,1837.031974,12 wk,3152
261,PNN-pos,#021818,WT,LH,1,3,3084.08063,12 wk,3152
262,PNN-pos,#021818,WT,LH,1,4,2160.708063,12 wk,3152
263,PNN-pos,#021818,WT,LH,1,5,2149.689527,12 wk,3152
264,PNN-pos,#021818,WT,LH,2,1,2428.867006,12 wk,3152
265,PNN-pos,#021818,WT,LH,2,2,2066.480074,12 wk,3152
266,PNN-pos,#021818,WT,LH,2,3,1837.412419,12 wk,3152
267,PNN-pos,#021818,WT,LH,2,4,2147.575533,12 wk,3152
268,PNN-pos,#013118,WT,RH,1,1,1830.510658,12 wk,2541
269,PNN-pos,#013118,WT,RH,1,2,1558.790547,12 wk,2541
270,PNN-pos,#013118,WT,RH,1,3,1312.616311,12 wk,2541
271,PNN-pos,#013118,WT,RH,1,4,1528.841057,12 wk,2541
272,PNN-pos,#013118,WT,RH,1,5,1344.699259,12 wk,2541
273,PNN-pos,#013118,WT,RH,2,1,1041.6038,12 wk,2541
274,PNN-pos,#013118,WT,RH,2,2,1674.292864,12 wk,2541
275,PNN-pos,#013118,WT,RH,2,3,1259.773865,12 wk,2541
276,PNN-pos,#013118,WT,RH,2,4,1477.293791,12 wk,2541
277,PNN-pos,#013118,WT,RH,2,5,1659.335032,12 wk,2541
278,PNN-pos,#022518,WT,RH,1,1,1234.103336,12 wk,3012
279,PNN-pos,#022518,WT,RH,1,2,2879.65431,12 wk,3012
280,PNN-pos,#022518,WT,RH,1,3,2841.459685,12 wk,3012
281,PNN-pos,#022518,WT,RH,1,4,2317.431881,12 wk,3012
282,PNN-pos,#022518,WT,RH,1,5,2232.407785,12 wk,3012
283,PNN-pos,#022518,WT,RH,2,1,2139.29101,12 wk,3012
284,PNN-pos,#022518,WT,RH,2,2,3066.278962,12 wk,3012
285,PNN-pos,#022518,WT,RH,2,3,3232.219648,12 wk,3012
286,PNN-pos,#022518,WT,RH,2,4,1844.13253,12 wk,3012
287,PNN-pos,#022518,WT,RH,2,5,1455.52595,12 wk,3012
288,PNN-pos,#021818,WT,RH,1,1,2233.526877,12 wk,3152
289,PNN-pos,#021818,WT,RH,1,2,3591.412419,12 wk,3152
290,PNN-pos,#021818,WT,RH,1,3,1823.36886,12 wk,3152
291,PNN-pos,#021818,WT,RH,1,4,2294.199722,12 wk,3152
292,PNN-pos,#021818,WT,RH,1,5,2262.145968,12 wk,3152
293,PNN-pos,#021818,WT,RH,2,1,2171.756256,12 wk,3152
294,PNN-pos,#021818,WT,RH,2,2,2300.438369,12 wk,3152
295,PNN-pos,#021818,WT,RH,2,3,1988.768304,12 wk,3152
296,PNN-pos,#021818,WT,RH,2,4,1833.138091,12 wk,3152
297,PNN-pos,#021818,WT,RH,2,5,1960.856348,12 wk,3152
353,PNN-pos,#013118,Het,LH,1,1,3874.232159,12 wk,3186
354,PNN-pos,#013118,Het,LH,1,2,3122.929564,12 wk,3186
355,PNN-pos,#013118,Het,LH,1,3,3500.883689,12 wk,3186
356,PNN-pos,#013118,Het,LH,1,4,2921.860056,12 wk,3186
357,PNN-pos,#013118,Het,LH,1,5,3360.113531,12 wk,3186
358,PNN-pos,#013118,Het,LH,2,1,3748.583874,12 wk,3186
359,PNN-pos,#013118,Het,LH,2,2,3396.319277,12 wk,3186
360,PNN-pos,#022518,Het,LH,1,1,755.1464319,12 wk,2389
361,PNN-pos,#022518,Het,LH,1,2,913.4569045,12 wk,2389
362,PNN-pos,#022518,Het,LH,1,3,797.1626506,12 wk,2389
363,PNN-pos,#022518,Het,LH,1,4,1327.048193,12 wk,2389
364,PNN-pos,#022518,Het,LH,2,1,1317.204819,12 wk,2389
365,PNN-pos,#022518,Het,LH,2,2,2485.535218,12 wk,2389
366,PNN-pos,#021818,Het,LH,1,1,3432.040778,12 wk,3323
367,PNN-pos,#021818,Het,LH,1,2,1705.594532,12 wk,3323
368,PNN-pos,#021818,Het,LH,1,3,2449.700649,12 wk,3323
369,PNN-pos,#021818,Het,LH,1,4,3599.303985,12 wk,3323
370,PNN-pos,#021818,Het,LH,1,5,1795.467563,12 wk,3323
371,PNN-pos,#021818,Het,LH,2,1,3405.44671,12 wk,3323
372,PNN-pos,#021818,Het,LH,2,2,1804.175162,12 wk,3323
373,PNN-pos,#021818,Het,LH,2,3,2653.319741,12 wk,3323
374,PNN-pos,#013118,Het,RH,1,1,1185.431418,12 wk,3186
375,PNN-pos,#013118,Het,RH,1,2,1421.670528,12 wk,3186
376,PNN-pos,#013118,Het,RH,1,3,1109.536145,12 wk,3186
377,PNN-pos,#013118,Het,RH,1,4,2544.329008,12 wk,3186
378,PNN-pos,#013118,Het,RH,1,5,2798.473587,12 wk,3186
379,PNN-pos,#013118,Het,RH,2,1,2026.531974,12 wk,3186
380,PNN-pos,#013118,Het,RH,2,2,3174.636701,12 wk,3186
381,PNN-pos,#013118,Het,RH,2,3,1259.858202,12 wk,3186
382,PNN-pos,#013118,Het,RH,2,4,1116.190454,12 wk,3186
383,PNN-pos,#013118,Het,RH,2,5,912.5273401,12 wk,3186
384,PNN-pos,#022518,Het,RH,1,1,1270.184893,12 wk,2389
385,PNN-pos,#022518,Het,RH,1,2,1020.129286,12 wk,2389
386,PNN-pos,#022518,Het,RH,2,1,1588.619555,12 wk,2389
387,PNN-pos,#022518,Het,RH,2,2,1796.223818,12 wk,2389
388,PNN-pos,#022518,Het,RH,2,3,1469.414272,12 wk,2389
389,PNN-pos,#022518,Het,RH,2,4,1369.373494,12 wk,2389
390,PNN-pos,#021818,Het,RH,1,1,1777.395737,12 wk,3323
391,PNN-pos,#021818,Het,RH,1,2,2158.282206,12 wk,3323
392,PNN-pos,#021818,Het,RH,1,3,2618.563948,12 wk,3323
393,PNN-pos,#021818,Het,RH,1,4,2262.955514,12 wk,3323
394,PNN-pos,#021818,Het,RH,1,5,2213.222428,12 wk,3323
395,PNN-pos,#021818,Het,RH,2,1,2080.031974,12 wk,3323
396,PNN-pos,#021818,Het,RH,2,2,1559.002317,12 wk,3323
397,PNN-pos,#021818,Het,RH,2,3,1767.832715,12 wk,3323
398,PNN-pos,#021818,Het,RH,2,4,1914.18721,12 wk,3323